,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
3782,To renovate,2,448  m² square meters,,5,2,No,220  m²  square meters,22  m²  square meters,"€ 840,000  840000 €",No,,
3783,Good,2,185  m² square meters,,2,1,,340  m²  square meters,155  m²  square meters,"€ 299,000  299000 €",,Dendermonde,
3784,Good,2,160  m² square meters,Hyper equipped,3,1,No,300  m²  square meters,200  m²  square meters,"€ 249,000  249000 €",,,Yes
3785,,3,169  m² square meters,Installed,3,1,,494  m²  square meters,,"€ 549,000  549000 €",,,
3786,Just renovated,4,345  m² square meters,Installed,3,2,,1448  m²  square meters,,"€ 525,000  525000 €",Yes,,Yes
3787,Good,3,156  m² square meters,Hyper equipped,3,1,No,143  m²  square meters,,"€ 339,000  339000 €",,,Yes
3788,,3,159  m² square meters,Installed,4,1,,433  m²  square meters,,"€ 341,167  341167 €",,,
3789,Good,4,380  m² square meters,USA hyper equipped,5,1,No,11052  m²  square meters,10000  m²  square meters,"€ 849,000  849000 €",No,Sint-Niklaas,Yes
3790,,4,,,2,,,843  m²  square meters,,,,,
3791,,4,74  m² square meters,Semi equipped,3,1,Yes,,,"€ 87,000  87000 €",,,Yes
3792,To be done up,3,83  m² square meters,Installed,2,1,,748  m²  square meters,,"Make an offer starting from  € 449,000  Make an offer starting from  449000 €",,,
3793,Good,2,128  m² square meters,Installed,4,2,,130  m²  square meters,,"Make an offer starting from  € 220,000  Make an offer starting from  220000 €",No,,Yes
3794,As new,2,110  m² square meters,USA hyper equipped,1,1,,,,"€ 229,500  229500 €",,,
3795,Good,2,151  m² square meters,Semi equipped,3,2,No,,,"€ 459,000  459000 €",,,
3796,To be done up,,201  m² square meters,Installed,5,3,,175  m²  square meters,,"€ 315,000  315000 €",No,,Yes
3797,Good,,177  m² square meters,Installed,4,,No,364  m²  square meters,,"€ 269,000  269000 €",,,Yes
3798,Good,2,452  m² square meters,,3,,No,452  m²  square meters,,"€ 1,250,000  1250000 €",,,Yes
3799,Good,2,92  m² square meters,Installed,2,,,213  m²  square meters,90  m²  square meters,"Make an offer starting from  € 200,000  Make an offer starting from  200000 €",,,
3800,To renovate,3,415  m² square meters,,11,1,No,1144  m²  square meters,795  m²  square meters,"€ 495,000  495000 €",,,Yes
3801,To be done up,2,170  m² square meters,Semi equipped,3,1,No,258  m²  square meters,,"Make an offer starting from  € 135,000  Make an offer starting from  135000 €",No,,Yes
3802,To renovate,4,132  m² square meters,Semi equipped,3,1,,260  m²  square meters,260  m²  square meters,"€ 99,000  99000 €",,,Yes
3803,Good,4,200  m² square meters,Semi equipped,4,1,,250  m²  square meters,70  m²  square meters,"Make an offer starting from  € 259,000  Make an offer starting from  259000 €",,,
3804,To be done up,4,203  m² square meters,Installed,4,1,,1135  m²  square meters,,"€ 495,000  495000 €",,,Yes
3805,To restore,,240  m² square meters,Installed,3,1,,240  m²  square meters,100  m²  square meters,"€ 199,500  199500 €",No,,
3806,Good,3,202  m² square meters,Installed,3,1,,624  m²  square meters,,"€ 495,000  495000 €",,,Yes
3807,As new,3,180  m² square meters,USA hyper equipped,4,2,No,503  m²  square meters,350  m²  square meters,"€ 569,000  569000 €",No,Grand Rhode,
3808,Good,2,237  m² square meters,Hyper equipped,5,2,No,800  m²  square meters,520  m²  square meters,"Make an offer starting from  € 750,000  Make an offer starting from  750000 €",No,Brabant Wallon,
3809,Good,2,,Installed,2,1,,133  m²  square meters,60  m²  square meters,"€ 255,000  255000 €",No,,
3810,Good,4,275  m² square meters,Installed,5,2,No,2240  m²  square meters,1890  m²  square meters,"€ 400,000  400000 €",,Liège et 15kms,Yes
3811,As new,3,181  m² square meters,Installed,4,1,,600  m²  square meters,130  m²  square meters,"€ 449,000  449000 €",No,,
3812,To be done up,2,169  m² square meters,Not installed,1,4,No,44  m²  square meters,,"Make an offer starting from  € 274,000  Make an offer starting from  274000 €",No,Liège environs,
3813,Good,,250  m² square meters,Installed,3,,No,1630  m²  square meters,,"€ 625,000  625000 €",,,Yes
3814,As new,4,553  m² square meters,USA hyper equipped,5,1,No,6291  m²  square meters,,"€ 1,265,000  1265000 €",,,
3815,To renovate,,250  m² square meters,Installed,4,1,No,959  m²  square meters,,"€ 575,000  575000 €",,,
3816,To renovate,4,190  m² square meters,Installed,3,1,No,4395  m²  square meters,,"€ 360,000  360000 €",,,
3817,Just renovated,2,235  m² square meters,Installed,3,1,,,,"€ 265,000  265000 €",,,Yes
3818,Good,3,359  m² square meters,Installed,5,3,,2720  m²  square meters,,"€ 370,000  370000 €",,,
3819,Good,3,360  m² square meters,Installed,4,,No,317  m²  square meters,100  m²  square meters,"€ 299,000  299000 €",,,
3820,Good,2,165  m² square meters,Semi equipped,3,1,,629  m²  square meters,,"€ 365,000  365000 €",No,,Yes
3821,Good,4,126  m² square meters,,3,1,,1202  m²  square meters,1076  m²  square meters,"Make an offer starting from  € 320,000  Make an offer starting from  320000 €",,,
3822,As new,2,227  m² square meters,Hyper equipped,3,1,,363  m²  square meters,183  m²  square meters,"€ 649,000  649000 €",No,,
3824,Just renovated,2,213  m² square meters,Installed,4,1,,394  m²  square meters,215  m²  square meters,"Make an offer starting from  € 349,900  Make an offer starting from  349900 €",,,
3825,,2,200  m² square meters,Installed,3,1,,,,"€ 335,000  335000 €",,,Yes
3826,Good,4,,,3,1,,857  m²  square meters,400  m²  square meters,"€ 255,000  255000 €",No,,
3827,To be done up,4,288  m² square meters,Installed,4,1,,877  m²  square meters,,"€ 275,000  275000 €",No,,Yes
3828,Good,,230  m² square meters,Hyper equipped,3,2,,,,"€ 565,000  565000 €",,,
3829,,,267  m² square meters,Installed,6,3,No,621  m²  square meters,255  m²  square meters,"€ 579,000  579000 €",No,,
3830,Just renovated,3,115  m² square meters,Installed,2,1,No,262  m²  square meters,,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",No,,
3831,As new,,175  m² square meters,Installed,3,1,,232  m²  square meters,,"€ 299,000  299000 €",,,
3832,As new,,78  m² square meters,Hyper equipped,2,,No,71  m²  square meters,25  m²  square meters,"€ 445,000  445000 €",,,Yes
3833,As new,2,230  m² square meters,USA hyper equipped,4,2,No,220  m²  square meters,,"€ 1,195,000  1195000 €",No,Projets Bruxelles Est,Yes
3834,To be done up,4,303  m² square meters,,4,2,,110000  m²  square meters,10000  m²  square meters,"€ 2,500,000  2500000 €",,,Yes
3835,To be done up,2,80  m² square meters,Installed,3,1,No,355  m²  square meters,255  m²  square meters,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",No,Liège,
3836,,3,127  m² square meters,,3,1,No,50  m²  square meters,,"Make an offer starting from  € 189,000  Make an offer starting from  189000 €",,,
3837,To be done up,2,172  m² square meters,Not installed,3,1,No,270  m²  square meters,,"Make an offer starting from  € 169,000  Make an offer starting from  169000 €",No,,Yes
3838,Good,4,280  m² square meters,Installed,2,1,,1272  m²  square meters,,"€ 899,000  899000 €",,,
3839,As new,4,440  m² square meters,Installed,5,2,,1382  m²  square meters,1000  m²  square meters,"€ 1,150,000  1150000 €",No,,
