,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
0,To be done up,2,143  m² square meters,Installed,3,1,No,530  m²  square meters,390  m²  square meters,"€ 199,000  199000 €",,,
1,To be done up,4,213  m² square meters,Installed,3,1,,2108  m²  square meters,,"€ 385,000  385000 €",,,
2,Good,4,140  m² square meters,Installed,3,1,,1461  m²  square meters,,"€ 313,500  313500 €",,,
3,To be done up,3,171  m² square meters,Semi equipped,4,1,,184  m²  square meters,89  m²  square meters,"€ 264,000  264000 €",No,,
4,To be done up,2,100  m² square meters,,2,1,,146  m²  square meters,70  m²  square meters,"€ 169,000  169000 €",,urbain,
5,To renovate,,167  m² square meters,Semi equipped,4,,,289  m²  square meters,,"€ 219,000  219000 €",,,
6,As new,3,160  m² square meters,Installed,5,2,No,2000  m²  square meters,1500  m²  square meters,"€ 435,000  435000 €",No,Grand Liège,
7,As new,4,225  m² square meters,Hyper equipped,5,1,,1585  m²  square meters,1  m²  square meter,"€ 649,000  649000 €",Yes,,
8,As new,2,160  m² square meters,Semi equipped,4,1,,124  m²  square meters,,"€ 349,000  349000 €",,Centre,
9,As new,4,80  m² square meters,Semi equipped,2,,,431  m²  square meters,,"€ 169,500  169500 €",,,
10,To be done up,2,140  m² square meters,USA installed,3,3,No,35  m²  square meters,,"€ 530,000  530000 €",,,
11,To be done up,4,185  m² square meters,Installed,2,1,,827  m²  square meters,,"€ 249,000  249000 €",,,
12,As new,2,150  m² square meters,,3,1,No,500  m²  square meters,500  m²  square meters,"€ 249,000  249000 €",No,,
13,To be done up,4,182  m² square meters,Not installed,3,1,,3535  m²  square meters,,"Make an offer starting from  € 289,000  Make an offer starting from  289000 €",,,
14,To be done up,4,222  m² square meters,Installed,3,2,No,909  m²  square meters,,"Make an offer starting from  € 250,000  Make an offer starting from  250000 €",No,,Yes
15,Good,,536  m² square meters,Installed,8,,No,940  m²  square meters,174  m²  square meters,"€ 749,000  749000 €",,,
16,To be done up,4,171  m² square meters,,2,1,,640  m²  square meters,,"€ 325,000  325000 €",No,,
17,To renovate,2,114  m² square meters,,3,3,,,,"€ 200,000  200000 €",,,
18,To renovate,,125  m² square meters,Semi equipped,2,,No,787  m²  square meters,,"€ 190,000  190000 €",,,Yes
19,Good,2,90  m² square meters,Installed,2,1,,,,"€ 295,000  295000 €",,,
20,,2,190  m² square meters,,4,2,No,609  m²  square meters,,"€ 190,000  190000 €",No,,
21,To be done up,3,203  m² square meters,Semi equipped,3,,No,733  m²  square meters,,"€ 315,000  315000 €",,,Yes
22,Good,2,143  m² square meters,Installed,3,2,,190  m²  square meters,,"€ 299,000  299000 €",,,
23,Good,3,75  m² square meters,Semi equipped,2,,,263  m²  square meters,,"€ 150,000  150000 €",,,
24,Good,3,205  m² square meters,Installed,5,3,No,307  m²  square meters,160  m²  square meters,"€ 279,500  279500 €",No,Liège,
25,As new,4,130  m² square meters,Hyper equipped,2,1,,2041  m²  square meters,1700  m²  square meters,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",,,
26,Good,2,495  m² square meters,USA semi equipped,9,5,No,305  m²  square meters,147  m²  square meters,"€ 1,450,000  1450000 €",No,Les Woluwes,
27,Just renovated,3,273  m² square meters,Installed,4,1,,273  m²  square meters,160  m²  square meters,"€ 235,000  235000 €",No,,
28,To be done up,2,438  m² square meters,,11,6,,411  m²  square meters,,"€ 748,000  748000 €",,,Yes
29,Good,4,211  m² square meters,,4,3,,70  m²  square meters,,"€ 525,000  525000 €",,,Yes
30,As new,2,440  m² square meters,Hyper equipped,13,10,Yes,250  m²  square meters,,"€ 1,090,000  1090000 €",,,
31,Just renovated,2,130  m² square meters,Not installed,3,1,No,180  m²  square meters,100  m²  square meters,"€ 189,900  189900 €",No,Liège,
32,Just renovated,2,150  m² square meters,Installed,4,1,No,222  m²  square meters,150  m²  square meters,"€ 820,000  820000 €",No,,
33,To be done up,,130  m² square meters,Semi equipped,4,1,,60  m²  square meters,,"€ 220,000  220000 €",,,
34,To be done up,3,121  m² square meters,Semi equipped,4,1,,228  m²  square meters,170  m²  square meters,"€ 169,000  169000 €",,,
35,To renovate,3,200  m² square meters,Not installed,3,,,2935  m²  square meters,,"€ 349,000  349000 €",,,
36,To be done up,4,300  m² square meters,Installed,5,1,,1587  m²  square meters,1300  m²  square meters,"€ 219,900  219900 €",,,Yes
37,Good,2,290  m² square meters,Hyper equipped,4,3,No,230  m²  square meters,,"€ 1,190,000  1190000 €",No,,
38,To renovate,,277  m² square meters,Semi equipped,3,1,,1922  m²  square meters,,"€ 650,000  650000 €",,,
39,Good,4,395  m² square meters,Installed,10,10,,4827  m²  square meters,,"€ 1,475,000  1475000 €",,,
40,As new,4,270  m² square meters,USA hyper equipped,3,2,,1340  m²  square meters,1000  m²  square meters,"€ 925,000  925000 €",,,
41,,,459  m² square meters,,4,2,No,1967  m²  square meters,,"€ 775,000  775000 €",No,,Yes
42,To be done up,3,158  m² square meters,,3,1,No,249  m²  square meters,,"€ 240,000  240000 €",No,,
43,To be done up,,174  m² square meters,Semi equipped,3,1,,1091  m²  square meters,,"€ 299,000  299000 €",No,,
44,As new,,186  m² square meters,Hyper equipped,3,,No,291  m²  square meters,229  m²  square meters,"€ 353,050  353050 €",,,
45,As new,3,150  m² square meters,Hyper equipped,3,,No,264  m²  square meters,115  m²  square meters,"€ 597,000  597000 €",,,
46,Good,4,,USA hyper equipped,8,6,No,30000  m²  square meters,29500  m²  square meters,"€ 1,695,000  1695000 €",No,,Yes
47,,4,520  m² square meters,Hyper equipped,6,3,,1415  m²  square meters,,"€ 8,500,000  8500000 €",,,Yes
48,Good,2,650  m² square meters,,5,2,,225  m²  square meters,,"€ 1,245,000  1245000 €",,Antwerpen centrum,Yes
49,To be done up,2,130  m² square meters,Semi equipped,3,,No,373  m²  square meters,,"€ 179,000  179000 €",,,Yes
50,To renovate,4,150  m² square meters,Semi equipped,3,1,,1159  m²  square meters,,"€ 310,000  310000 €",,,Yes
51,Good,3,295  m² square meters,Installed,6,2,,672  m²  square meters,,"€ 550,000  550000 €",,,Yes
52,To restore,3,66  m² square meters,Semi equipped,3,1,,105  m²  square meters,55  m²  square meters,"€ 140,000  140000 €",,,
53,As new,3,240  m² square meters,Installed,5,3,No,447  m²  square meters,362  m²  square meters,"€ 1,100,000  1100000 €",,,
54,,,180  m² square meters,,4,2,,127  m²  square meters,,"€ 395,000  395000 €",,,
55,,4,263  m² square meters,Semi equipped,5,2,,806  m²  square meters,,"€ 425,000  425000 €",,,
56,Good,,100  m² square meters,Installed,2,1,No,57  m²  square meters,,"€ 219,000  219000 €",No,,
57,Good,4,145  m² square meters,USA installed,3,1,No,303  m²  square meters,100  m²  square meters,"€ 695,000  695000 €",No,,
58,Good,2,225  m² square meters,Installed,4,2,,520  m²  square meters,,"€ 295,000  295000 €",,,Yes
59,Good,,190  m² square meters,Installed,3,,No,11400  m²  square meters,,"€ 550,000  550000 €",,,
60,Good,2,323  m² square meters,USA hyper equipped,8,3,No,100  m²  square meters,,"€ 650,000  650000 €",Yes,Bruxelles Est,
61,To be done up,3,315  m² square meters,Hyper equipped,5,1,No,627  m²  square meters,380  m²  square meters,"€ 1,195,000  1195000 €",No,,
62,Just renovated,2,130  m² square meters,Hyper equipped,3,2,No,96  m²  square meters,20  m²  square meters,"€ 265,000  265000 €",No,Vlaamse Ardennen,Yes
63,To be done up,3,239  m² square meters,Semi equipped,6,,,152  m²  square meters,,"€ 410,000  410000 €",,,
64,As new,,188  m² square meters,,3,,No,188  m²  square meters,,"€ 305,000  305000 €",,,Yes
65,Good,2,250  m² square meters,Installed,5,2,,144  m²  square meters,,"€ 360,000  360000 €",,,Yes
66,To be done up,2,,Installed,4,1,,380  m²  square meters,,,,,Yes
67,To renovate,4,300  m² square meters,,3,,,14729  m²  square meters,14729  m²  square meters,"€ 1,200,000  1200000 €",No,,
68,To be done up,,207  m² square meters,Semi equipped,4,,No,507  m²  square meters,,"€ 320,000  320000 €",,,Yes
69,To be done up,3,132  m² square meters,Semi equipped,3,1,No,419  m²  square meters,290  m²  square meters,"€ 395,000  395000 €",,Brabant Wallon,
70,Good,,363  m² square meters,Installed,5,,No,159  m²  square meters,50  m²  square meters,"€ 399,000  399000 €",,,
71,As new,,300  m² square meters,Installed,4,1,,400  m²  square meters,,"€ 399,000  399000 €",No,,Yes
72,,2,398  m² square meters,,5,,,150  m²  square meters,,"€ 599,000  599000 €",,,
73,To renovate,4,170  m² square meters,Semi equipped,3,1,,570  m²  square meters,300  m²  square meters,"€ 269,000  269000 €",No,Oost- Vlaanderen,Yes
74,,4,258  m² square meters,Installed,4,2,,,,"€ 663,000  663000 €",,,Yes
75,Good,3,195  m² square meters,Installed,3,,No,1351  m²  square meters,1220  m²  square meters,"€ 425,000  425000 €",,,
76,Just renovated,2,174  m² square meters,Installed,3,1,,277  m²  square meters,,"€ 299,000  299000 €",,,Yes
77,As new,2,280  m² square meters,Hyper equipped,4,2,No,,85  m²  square meters,"€ 659,000  659000 €",,Brussel,
78,Good,2,180  m² square meters,Hyper equipped,4,2,No,120  m²  square meters,,"€ 329,000  329000 €",No,Liège,
79,Good,3,222  m² square meters,Semi equipped,3,1,,315  m²  square meters,140  m²  square meters,"€ 449,000  449000 €",,,
80,Good,4,103  m² square meters,Semi equipped,2,1,,1124  m²  square meters,,"€ 50,000  50000 €",,,Yes
81,Good,4,224  m² square meters,Installed,4,1,No,613  m²  square meters,,"€ 415,000  415000 €",,,Yes
82,As new,3,124  m² square meters,Installed,3,1,No,320  m²  square meters,,"€ 289,000  289000 €",,,Yes
83,Good,3,370  m² square meters,Semi equipped,5,1,,2090  m²  square meters,1800  m²  square meters,"€ 479,000  479000 €",,,
84,,2,156  m² square meters,Installed,3,1,,281  m²  square meters,150  m²  square meters,"€ 409,000  409000 €",,,
85,Good,2,125  m² square meters,Hyper equipped,3,2,No,105  m²  square meters,25  m²  square meters,"€ 269,000  269000 €",,,
86,To be done up,4,480  m² square meters,,12,1,No,1256  m²  square meters,350  m²  square meters,"€ 350,000  350000 €",No,,
87,As new,3,195  m² square meters,Hyper equipped,3,1,No,453  m²  square meters,,"€ 398,000  398000 €",,Dorp,
88,Good,2,233  m² square meters,Installed,4,2,,,,"€ 469,000  469000 €",,,
89,Good,3,265  m² square meters,Installed,4,2,,937  m²  square meters,,"€ 595,000  595000 €",,,Yes
90,Just renovated,3,192  m² square meters,Semi equipped,4,1,,,,"€ 209,000  209000 €",,,
91,Good,3,124  m² square meters,USA hyper equipped,3,1,No,419  m²  square meters,185  m²  square meters,"€ 599,000  599000 €",No,,
92,To be done up,3,206  m² square meters,Installed,3,1,,589  m²  square meters,350  m²  square meters,"€ 340,000  340000 €",,,
93,As new,3,174  m² square meters,Hyper equipped,4,1,No,230  m²  square meters,95  m²  square meters,"€ 275,000  275000 €",No,Ans,
94,Good,3,130  m² square meters,Installed,3,1,No,1180  m²  square meters,1050  m²  square meters,"Make an offer starting from  € 219,900  Make an offer starting from  219900 €",No,Wallonne,
95,Good,4,475  m² square meters,Hyper equipped,4,2,,78190  m²  square meters,,"€ 1,325,000  1325000 €",,,
96,,3,567  m² square meters,Not installed,16,6,No,2739  m²  square meters,,"Make an offer starting from  € 549,000  Make an offer starting from  549000 €",No,,
97,To renovate,2,118  m² square meters,Semi equipped,4,2,,,,"Make an offer starting from  € 119,000  Make an offer starting from  119000 €",,,Yes
98,To renovate,4,182  m² square meters,,3,1,No,3972  m²  square meters,,"€ 599,000  599000 €",No,,
99,To be done up,3,231  m² square meters,,4,1,,1061  m²  square meters,886  m²  square meters,"€ 249,000  249000 €",,,
100,To renovate,4,185  m² square meters,Not installed,4,1,No,1500  m²  square meters,550  m²  square meters,"€ 310,000  310000 €",,,
101,Good,2,85  m² square meters,Semi equipped,3,1,No,37  m²  square meters,,"€ 149,500  149500 €",No,,
102,To renovate,3,150  m² square meters,Semi equipped,2,1,,568  m²  square meters,277  m²  square meters,"€ 189,000  189000 €",,,
103,,3,,Hyper equipped,4,1,,1130  m²  square meters,,"€ 519,500  519500 €",,,
104,Good,4,209  m² square meters,Installed,4,2,,596  m²  square meters,,"€ 549,000  549000 €",,,Yes
105,Good,4,730  m² square meters,,9,5,,1768  m²  square meters,,"€ 800,000  800000 €",Yes,,
106,Good,2,440  m² square meters,USA installed,3,2,No,225  m²  square meters,,"€ 890,000  890000 €",No,,
107,Good,2,115  m² square meters,Hyper equipped,2,1,,147  m²  square meters,70  m²  square meters,"€ 440,000  440000 €",,,
108,Just renovated,2,220  m² square meters,,3,2,,,,"€ 950,000  950000 €",No,,
109,Good,2,135  m² square meters,,3,2,No,287  m²  square meters,287  m²  square meters,"Make an offer starting from  € 357,500  Make an offer starting from  357500 €",No,,
110,To renovate,3,155  m² square meters,Semi equipped,2,1,,741  m²  square meters,,"€ 169,000  169000 €",No,,
111,As new,4,321  m² square meters,Hyper equipped,4,2,,684  m²  square meters,,"€ 708,257  708257 €",No,,Yes
112,As new,4,330  m² square meters,Hyper equipped,5,2,,1410  m²  square meters,,"€ 535,000  535000 €",,,
113,To be done up,3,111  m² square meters,Installed,2,1,,267  m²  square meters,100  m²  square meters,"€ 180,000  180000 €",,,
114,As new,4,250  m² square meters,Hyper equipped,4,2,,450  m²  square meters,,"€ 690,000  690000 €",,,Yes
115,Good,,158  m² square meters,Installed,4,,No,126  m²  square meters,25  m²  square meters,"€ 239,000  239000 €",,,Yes
116,As new,2,266  m² square meters,Installed,7,5,Yes,60  m²  square meters,,"€ 655,000  655000 €",No,Barrière de Saint-Gilles,
117,Good,3,180  m² square meters,,3,1,Yes,315  m²  square meters,200  m²  square meters,"€ 275,000  275000 €",No,Grand Liège,
118,Good,6,250  m² square meters,,3,1,No,313  m²  square meters,233  m²  square meters,"€ 995,000  995000 €",No,,
119,To renovate,2,200  m² square meters,Not installed,3,1,No,434  m²  square meters,300  m²  square meters,"€ 250,000  250000 €",No,,
120,,2,65  m² square meters,Semi equipped,2,,,110  m²  square meters,,"€ 155,000  155000 €",,,
121,To renovate,4,,Installed,2,1,No,905  m²  square meters,,"€ 289,000  289000 €",No,,
122,As new,4,365  m² square meters,,4,2,No,1500  m²  square meters,1151  m²  square meters,"€ 995,000  995000 €",No,,
123,To renovate,3,145  m² square meters,Not installed,4,1,No,450  m²  square meters,400  m²  square meters,"Make an offer starting from  € 350,000  Make an offer starting from  350000 €",No,,Yes
124,Good,2,177  m² square meters,Installed,3,1,,315  m²  square meters,,"€ 360,000  360000 €",,,Yes
125,Good,4,123  m² square meters,Semi equipped,3,1,No,1473  m²  square meters,,"€ 450,000  450000 €",No,,
126,As new,4,200  m² square meters,Hyper equipped,3,1,,2200  m²  square meters,1800  m²  square meters,"€ 549,000  549000 €",,,
127,To be done up,2,102  m² square meters,Installed,2,1,No,135  m²  square meters,,"€ 139,500  139500 €",No,,
128,To be done up,4,186  m² square meters,Installed,4,1,No,885  m²  square meters,,"€ 480,000  480000 €",No,,Yes
129,Good,4,155  m² square meters,Semi equipped,4,1,No,1192  m²  square meters,1192  m²  square meters,"€ 255,000  255000 €",No,,
130,Good,,430  m² square meters,Installed,5,,No,,200  m²  square meters,"€ 2,750,000  2750000 €",,,
131,As new,4,213  m² square meters,USA hyper equipped,4,1,,900  m²  square meters,900  m²  square meters,"€ 359,000  359000 €",No,,
132,To be done up,3,164  m² square meters,Installed,4,,No,854  m²  square meters,575  m²  square meters,"€ 235,000  235000 €",,,
133,Good,3,120  m² square meters,Hyper equipped,3,1,No,560  m²  square meters,320  m²  square meters,"€ 399,000  399000 €",Yes,,
134,To be done up,2,116  m² square meters,Semi equipped,3,1,,90  m²  square meters,,"Make an offer starting from  € 95,000  Make an offer starting from  95000 €",No,,
135,As new,2,370  m² square meters,Hyper equipped,4,1,No,200  m²  square meters,,"€ 1,625,000  1625000 €",Yes,,Yes
136,As new,4,375  m² square meters,Installed,3,1,,904  m²  square meters,777  m²  square meters,"€ 749,000  749000 €",No,,
137,As new,,205  m² square meters,Installed,4,1,No,422  m²  square meters,,"€ 524,900  524900 €",No,,
138,,2,210  m² square meters,Installed,4,2,,100  m²  square meters,,"€ 488,000  488000 €",,,Yes
139,As new,3,520  m² square meters,,6,2,No,223  m²  square meters,,"Make an offer starting from  € 299,000  Make an offer starting from  299000 €",,,
140,Good,3,257  m² square meters,Semi equipped,5,2,,416  m²  square meters,,"€ 350,000  350000 €",,,
142,As new,3,141  m² square meters,USA hyper equipped,3,1,,328  m²  square meters,,"€ 355,000  355000 €",No,Oost- Vlaanderen,Yes
143,,,,Installed,3,2,No,157  m²  square meters,,"€ 499,000  499000 €",No,,
144,To renovate,2,300  m² square meters,Not installed,4,3,,213  m²  square meters,50  m²  square meters,"€ 1,950,000  1950000 €",No,,
145,As new,2,125  m² square meters,Hyper equipped,3,2,No,130  m²  square meters,56  m²  square meters,"€ 465,000  465000 €",No,,
146,As new,4,405  m² square meters,USA hyper equipped,6,2,No,1350  m²  square meters,,"€ 620,000  620000 €",No,,Yes
147,,4,168  m² square meters,,2,1,No,571  m²  square meters,,"€ 195,000  195000 €",,,
148,Good,3,238  m² square meters,Hyper equipped,4,1,No,856  m²  square meters,,"€ 575,000  575000 €",No,,
149,To be done up,2,230  m² square meters,Installed,5,1,No,270  m²  square meters,175  m²  square meters,"Make an offer starting from  € 715,000  Make an offer starting from  715000 €",,,
150,Good,3,277  m² square meters,Installed,4,3,,464  m²  square meters,,"€ 365,000  365000 €",,,
151,,2,170  m² square meters,,4,,No,170  m²  square meters,,"€ 825,000  825000 €",No,,
152,To be done up,,550  m² square meters,Not installed,5,3,,2529  m²  square meters,,"€ 1,296,000  1296000 €",,,Yes
153,As new,4,234  m² square meters,Hyper equipped,3,1,No,750  m²  square meters,,"Make an offer starting from  € 550,000  Make an offer starting from  550000 €",No,,Yes
154,Good,2,220  m² square meters,Hyper equipped,5,1,No,120  m²  square meters,48  m²  square meters,"€ 575,000  575000 €",,Bruxelles Est + Sud/Est,
155,As new,2,227  m² square meters,Hyper equipped,3,1,,261  m²  square meters,110  m²  square meters,"€ 379,000  379000 €",,Dendermonde,
156,Good,3,162  m² square meters,Semi equipped,3,1,,,,"Make an offer starting from  € 185,000  Make an offer starting from  185000 €",,,
157,As new,4,267  m² square meters,USA hyper equipped,5,2,,611  m²  square meters,611  m²  square meters,"€ 425,000  425000 €",No,,
158,As new,,148  m² square meters,,3,1,,295  m²  square meters,,"€ 369,000  369000 €",No,,Yes
159,To renovate,2,225  m² square meters,,4,1,,210  m²  square meters,,"€ 199,000  199000 €",,,
160,To renovate,2,325  m² square meters,Semi equipped,4,1,,310  m²  square meters,,"€ 399,000  399000 €",,centre-ville,
161,As new,4,208  m² square meters,,3,2,No,180  m²  square meters,,"€ 485,000  485000 €",No,,Yes
162,To be done up,4,115  m² square meters,Semi equipped,3,1,,362  m²  square meters,,"€ 225,000  225000 €",,,
163,As new,3,90  m² square meters,Semi equipped,2,1,No,330  m²  square meters,150  m²  square meters,"Make an offer starting from  € 180,000  Make an offer starting from  180000 €",,Namurois,
164,Good,4,161  m² square meters,Installed,3,1,No,2802  m²  square meters,2573  m²  square meters,"Make an offer starting from  € 370,000  Make an offer starting from  370000 €",No,Andenne,
165,Just renovated,,157  m² square meters,Installed,4,2,,80  m²  square meters,,"€ 299,000  299000 €",No,,Yes
166,As new,4,314  m² square meters,Hyper equipped,3,,No,7166  m²  square meters,,"€ 895,000  895000 €",,,Yes
167,To renovate,3,116  m² square meters,Not installed,2,1,,,,"€ 135,000  135000 €",,,
168,Good,4,262  m² square meters,USA hyper equipped,4,1,No,1807  m²  square meters,,"€ 615,000  615000 €",No,,Yes
169,To renovate,4,650  m² square meters,,5,4,No,33400  m²  square meters,,"€ 1,499,000  1499000 €",Yes,,Yes
170,To be done up,2,120  m² square meters,,3,2,No,66  m²  square meters,,"€ 330,000  330000 €",,,
171,To renovate,2,185  m² square meters,,2,1,No,140  m²  square meters,,"€ 159,000  159000 €",No,,
172,Just renovated,3,139  m² square meters,Installed,2,1,,663  m²  square meters,400  m²  square meters,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",,,
173,Just renovated,3,,Hyper equipped,3,1,,121  m²  square meters,1  m²  square meter,"€ 329,000  329000 €",No,,
174,Good,2,264  m² square meters,Installed,5,2,No,500  m²  square meters,151  m²  square meters,"€ 329,000  329000 €",No,,
175,To renovate,4,400  m² square meters,Installed,8,2,,1113  m²  square meters,900  m²  square meters,"€ 795,000  795000 €",No,,
176,Good,2,110  m² square meters,Installed,3,1,,264  m²  square meters,,"€ 359,000  359000 €",,,
177,,,,Installed,3,2,No,212  m²  square meters,,"€ 709,000  709000 €",No,,
178,As new,2,170  m² square meters,Installed,3,,,95  m²  square meters,10  m²  square meters,"€ 275,000  275000 €",No,,
179,As new,4,210  m² square meters,Hyper equipped,4,1,No,592  m²  square meters,300  m²  square meters,"€ 1,150,000  1150000 €",No,Est de Bruxelles + VL,
180,Good,3,165  m² square meters,Installed,4,2,,417  m²  square meters,,"€ 309,000  309000 €",No,,
181,Good,4,110  m² square meters,Installed,3,,No,1618  m²  square meters,,"€ 279,000  279000 €",,,Yes
182,Good,3,128  m² square meters,Hyper equipped,3,1,Yes,415  m²  square meters,235  m²  square meters,"€ 465,000  465000 €",,Brabant-Wallon,Yes
183,Good,2,625  m² square meters,Installed,9,2,No,780  m²  square meters,110  m²  square meters,"€ 795,000  795000 €",No,,
184,To renovate,2,,Semi equipped,3,1,No,184  m²  square meters,100  m²  square meters,"€ 660,000  660000 €",No,,
185,To renovate,4,324  m² square meters,,5,1,,5003  m²  square meters,4790  m²  square meters,"€ 995,000  995000 €",,,
186,Good,,288  m² square meters,Installed,5,,No,470  m²  square meters,,"€ 319,000  319000 €",,,Yes
187,Good,4,350  m² square meters,Hyper equipped,5,2,No,1442  m²  square meters,,"€ 2,100,000  2100000 €",No,,Yes
188,Good,4,166  m² square meters,Installed,4,,No,780  m²  square meters,,"€ 420,000  420000 €",,,
189,Good,4,352  m² square meters,Installed,3,1,No,1766  m²  square meters,,"€ 435,000  435000 €",,,
190,Good,2,293  m² square meters,Installed,4,1,No,141  m²  square meters,22  m²  square meters,"€ 649,000  649000 €",No,,
191,To be done up,,550  m² square meters,Not installed,5,3,,2529  m²  square meters,,"€ 1,296,000  1296000 €",,,
192,Good,3,115  m² square meters,Installed,3,2,,286  m²  square meters,,"€ 345,000  345000 €",,,
193,To renovate,2,85  m² square meters,Not installed,2,1,No,170  m²  square meters,60  m²  square meters,"€ 120,000  120000 €",,,
194,Good,3,100  m² square meters,Installed,2,1,,400  m²  square meters,,"Make an offer starting from  € 239,000  Make an offer starting from  239000 €",No,,
195,Just renovated,3,175  m² square meters,Installed,3,1,No,82  m²  square meters,,"Make an offer starting from  € 189,000  Make an offer starting from  189000 €",No,Liège environs,
196,Good,,160  m² square meters,Semi equipped,4,,,158  m²  square meters,,"€ 179,000  179000 €",,,
197,To renovate,4,265  m² square meters,Semi equipped,5,2,No,857  m²  square meters,457  m²  square meters,"Make an offer starting from  € 500,000  Make an offer starting from  500000 €",,,
198,Good,2,102  m² square meters,,2,,,99  m²  square meters,8  m²  square meters,"€ 178,000  178000 €",,,
199,As new,4,980  m² square meters,USA hyper equipped,7,6,No,18000  m²  square meters,,"Make an offer starting from  € 1,850,000  Make an offer starting from  1850000 €",,,
200,Good,4,193  m² square meters,Installed,4,2,,1700  m²  square meters,1100  m²  square meters,"€ 340,000  340000 €",No,,
201,To renovate,4,290  m² square meters,Not installed,4,1,,500  m²  square meters,300  m²  square meters,"€ 228,000  228000 €",,,
202,To be done up,2,132  m² square meters,Not installed,3,1,,325  m²  square meters,240  m²  square meters,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",,,
203,To be done up,4,445  m² square meters,,5,2,,8376  m²  square meters,8376  m²  square meters,"€ 1,150,000  1150000 €",,,Yes
204,As new,4,244  m² square meters,Hyper equipped,3,2,No,984  m²  square meters,600  m²  square meters,"€ 549,000  549000 €",,,
205,Good,2,,Semi equipped,5,1,No,160  m²  square meters,50  m²  square meters,"€ 170,000  170000 €",No,Liège,
206,To restore,2,120  m² square meters,Semi equipped,2,1,,290  m²  square meters,227  m²  square meters,"€ 125,000  125000 €",,,
207,Good,3,168  m² square meters,Installed,4,1,No,499  m²  square meters,300  m²  square meters,"€ 248,000  248000 €",No,Ans,
208,Good,4,304  m² square meters,,4,2,No,1084  m²  square meters,,"€ 795,000  795000 €",,,Yes
209,Good,4,200  m² square meters,Semi equipped,4,1,,,,"€ 520,000  520000 €",,,Yes
210,As new,,270  m² square meters,Hyper equipped,6,,No,458  m²  square meters,,"€ 415,000  415000 €",,,Yes
211,,3,234  m² square meters,USA hyper equipped,4,1,No,171  m²  square meters,24  m²  square meters,"€ 485,000  485000 €",No,Oost-Vlaanderen,
212,Good,4,150  m² square meters,Installed,3,,,1345  m²  square meters,,"€ 330,000  330000 €",,,Yes
213,To renovate,,234  m² square meters,Not installed,2,1,No,2853  m²  square meters,,"€ 299,000  299000 €",No,,Yes
214,Good,4,130  m² square meters,,3,2,,400  m²  square meters,,"€ 289,000  289000 €",,Halle,Yes
215,To be done up,4,205  m² square meters,Semi equipped,4,1,No,1213  m²  square meters,1060  m²  square meters,"€ 499,000  499000 €",,,
216,To renovate,3,256  m² square meters,Semi equipped,3,1,,550  m²  square meters,400  m²  square meters,"€ 319,000  319000 €",,,
217,To be done up,2,218  m² square meters,Semi equipped,3,1,No,360  m²  square meters,,"€ 245,000  245000 €",,,
218,To be done up,,205  m² square meters,Semi equipped,2,1,No,170  m²  square meters,50  m²  square meters,"€ 259,000  259000 €",No,,
219,,3,138  m² square meters,Installed,3,1,No,,,"€ 280,000  280000 €",,,
220,Good,2,317  m² square meters,Installed,5,5,No,292  m²  square meters,167  m²  square meters,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",No,GRAND VERVIERS,
221,Good,3,100  m² square meters,,3,1,,135  m²  square meters,84  m²  square meters,"Make an offer starting from  € 425,000  Make an offer starting from  425000 €",,Brabant Wallon,
222,Just renovated,3,110  m² square meters,USA hyper equipped,2,1,No,220  m²  square meters,120  m²  square meters,"Make an offer starting from  € 179,900  Make an offer starting from  179900 €",No,Charleroi,
224,To renovate,2,,Not installed,2,1,,240  m²  square meters,,"€ 100,000  100000 €",,,
225,Good,2,221  m² square meters,,6,4,No,44  m²  square meters,,"€ 578,000  578000 €",No,Bruxelles (19 communes),
226,As new,2,227  m² square meters,,4,2,No,180  m²  square meters,,"€ 299,000  299000 €",No,,Yes
227,Good,2,190  m² square meters,Hyper equipped,4,3,,270  m²  square meters,270  m²  square meters,"€ 1,245,000  1245000 €",No,3 - KNOKKE,
228,Good,2,,USA installed,5,2,,170  m²  square meters,,"€ 435,000  435000 €",,,
229,Just renovated,4,250  m² square meters,Installed,5,1,,600  m²  square meters,1  m²  square meter,"€ 624,000  624000 €",No,,
230,Good,3,120  m² square meters,Hyper equipped,2,1,No,463  m²  square meters,,"€ 489,000  489000 €",No,,
231,As new,3,200  m² square meters,Hyper equipped,3,1,No,1735  m²  square meters,1500  m²  square meters,"€ 549,000  549000 €",,,
232,,2,200  m² square meters,Not installed,3,,,47  m²  square meters,,"€ 335,000  335000 €",,urbain,Yes
233,As new,2,210  m² square meters,Hyper equipped,3,1,,176  m²  square meters,55  m²  square meters,"€ 478,000  478000 €",,,
234,As new,4,67  m² square meters,Installed,2,1,No,291294  m²  square meters,,"€ 173,000  173000 €",,Namur,Yes
235,To renovate,2,100  m² square meters,Not installed,2,1,No,170  m²  square meters,50  m²  square meters,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",No,,
