,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Surface of the plot,Width of the lot on the street,"Gas, water & electricity",Garden,Garden orientation,Terrace surface,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Office surface,Office,Basement,Price,Cadastral income,Tenement building,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Address,Website,External reference
1,240  kWh/m²  kilowatt hour per square meters,C,20230308-0002314212-RES-4,Not specified,Not specified,No,Gas,Yes,497  m²  square meters,10 m  meters,No,Yes,East,40  m²  square meters,1909,To be done up,10 m,2,1,282  m² square meters,52  m² square meters,Installed,14  m² square meters,4,19  m² square meters,17  m² square meters,17  m² square meters,1,2,28  m² square meters,Yes,Yes,"€ 439,000  439000 €",€ 733  733 €,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Dorpshart 10 2870  - Puurs,http://www.trevi-axus.be,9881 - TK/23042/8
