,0,1
0,Living area,282  m² square meters
1,Living room surface,52  m² square meters
2,Kitchen type,Installed
3,Kitchen surface,14  m² square meters
4,Bedrooms,4
5,Bedroom 1 surface,19  m² square meters
6,Bedroom 2 surface,17  m² square meters
7,Bedroom 3 surface,17  m² square meters
8,Bathrooms,1
9,Toilets,2
10,Office surface,28  m² square meters
11,Office,Yes
12,Basement,Yes
