,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Terrace,Swimming pool,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Garden surface
273,As new,2,186,USA hyper equipped,4,2,0.0,143,None,None,"€ 799,000  799000 €",house,house,for sale,None,65
276,To be done up,4,185,Installed,3,1,None,2592,1.0,None,"€ 449,000  449000 €",house,house,for sale,None,None
277,To be done up,4,203,Installed,4,2,0.0,1886,None,None,"Make an offer starting from  € 495,000  Make an offer starting from  495000 €",house,villa,for sale,Brabant Wallon,1737
279,To renovate,3,275,Installed,4,2,0.0,457,1.0,None,"€ 278,000  278000 €",house,house,for sale,Xhoris centre,None
280,Good,4,130,Installed,3,1,None,849,1.0,1.0,"€ 395,000  395000 €",house,villa,for sale,None,None
281,Good,4,133,USA semi equipped,3,1,None,600,1.0,0.0,"€ 429,000  429000 €",house,bungalow,for sale,None,522
282,Good,2,145,Hyper equipped,4,1,0.0,270,None,0.0,"€ 274,000  274000 €",house,house,for sale,Vlaamse Ardennen,180
283,Good,3,252,Installed,4,1,None,630,None,None,"€ 390,000  390000 €",house,house,for sale,None,None
284,Good,4,172,Installed,3,2,0.0,2180,None,0.0,"€ 580,000  580000 €",house,house,for sale,None,1700
285,To renovate,4,370,USA installed,7,1,None,1269,None,None,"€ 850,000  850000 €",house,mansion,for sale,Zuiden van Antwerpen,1060
287,As new,4,403,Hyper equipped,6,2,None,1016,1.0,0.0,"€ 998,000  998000 €",house,exceptional property,for sale,None,None
288,To be done up,4,44,USA installed,2,1,1.0,309,None,None,"€ 135,000  135000 €",house,chalet,for sale,Zone Nord Province du Luxembourg,265
290,Good,4,720,Installed,5,2,None,3366,1.0,None,"€ 1,695,000  1695000 €",house,villa,for sale,None,None
293,To renovate,4,125,Semi equipped,3,1,None,1812,1.0,None,"€ 415,000  415000 €",house,bungalow,for sale,None,1512
294,To be done up,4,255,Installed,5,3,None,5922,1.0,0.0,"Make an offer starting from  € 465,000  Make an offer starting from  465000 €",house,house,for sale,None,10264
296,Good,2,115,Not installed,3,1,0.0,83,None,0.0,"Make an offer starting from  € 159,000  Make an offer starting from  159000 €",house,house,for sale,Liège environs,None
298,To renovate,2,162,Installed,3,1,0.0,289,None,0.0,"€ 470,000  470000 €",house,house,for sale,Brussels ZE,190
299,To renovate,4,None,Not installed,3,1,None,927,1.0,0.0,"€ 250,000  250000 €",house,house,for sale,Oost- Vlaanderen,None
300,Good,2,157,Hyper equipped,3,1,0.0,70,None,0.0,"€ 345,000  345000 €",house,house,for sale,Nord /Ouest Bruxelles,None
301,Good,2,181,Installed,3,1,None,122,None,None,"€ 349,000  349000 €",house,house,for sale,None,23
302,To be done up,4,178,Semi equipped,3,1,None,1061,None,None,"Make an offer starting from  € 445,000  Make an offer starting from  445000 €",house,house,for sale,None,600
303,To be done up,2,204,None,5,2,0.0,80,None,0.0,"€ 780,000  780000 €",house,house,for sale,None,None
304,Good,2,190,Installed,3,1,0.0,659,None,0.0,"€ 300,000  300000 €",house,house,for sale,Hannut et 5 kms,430
305,To renovate,3,229,Not installed,8,7,0.0,94,None,None,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",house,apartment block,for sale,Liège environs,None
306,As new,4,200,USA hyper equipped,4,1,0.0,1000,None,None,"€ 649,000  649000 €",house,villa,for sale,Vlaams-Brabant Noorden,865
307,Good,2,110,Installed,3,1,None,264,None,None,"€ 359,000  359000 €",house,house,for sale,None,None
308,Good,4,600,Installed,3,1,0.0,1481,None,None,"€ 1,095,000  1095000 €",house,country cottage,for sale,Oosterzele centrum,None
310,As new,4,162,Installed,3,1,0.0,1039,None,1.0,"€ 365,000  365000 €",house,villa,for sale,None,1039
311,As new,3,205,USA hyper equipped,6,2,None,556,None,None,"€ 550,000  550000 €",house,house,for sale,None,310
312,Good,3,250,Semi equipped,4,1,None,1133,1.0,None,"€ 429,000  429000 €",house,house,for sale,None,875
313,To be done up,3,123,Not installed,4,1,0.0,150,1.0,0.0,"Make an offer starting from  € 149,000  Make an offer starting from  149000 €",house,house,for sale,Grand Liège,None
314,Good,3,100,USA installed,2,1,0.0,373,None,0.0,"€ 219,000  219000 €",house,house,for sale,Grand Liège,220
316,Good,3,171,Installed,3,1,None,841,1.0,None,"€ 349,000  349000 €",house,house,for sale,None,None
317,As new,2,229,Hyper equipped,4,2,0.0,110,None,0.0,"€ 465,000  465000 €",house,house,for sale,Bruxelles,None
318,To be done up,4,150,Semi equipped,1,1,None,798,1.0,None,"€ 349,000  349000 €",house,house,for sale,None,None
319,To be done up,3,135,Installed,3,1,0.0,559,None,None,"€ 525,000  525000 €",house,house,for sale,None,275
321,Just renovated,2,110,Installed,3,1,None,173,None,None,"€ 450,000  450000 €",house,house,for sale,Bruxelles (19 communes),120
323,Good,4,285,Installed,5,2,0.0,1915,1.0,0.0,"€ 600,000  600000 €",house,villa,for sale,Hannut et 5 kms,1000
325,Good,4,150,Installed,3,1,0.0,1335,None,0.0,"€ 319,900  319900 €",house,house,for sale,Zone Centre Province du Luxembourg,1215
326,As new,2,360,USA hyper equipped,6,3,0.0,541,None,0.0,"€ 980,000  980000 €",house,house,for sale,None,350
327,As new,4,345,Hyper equipped,5,3,0.0,824,None,0.0,"€ 1,495,000  1495000 €",house,house,for sale,Est de Bruxelles + VL,600
328,As new,4,688,USA hyper equipped,None,9,0.0,400,1.0,0.0,"€ 2,195,000  2195000 €",house,apartment block,for sale,None,None
329,As new,4,603,USA hyper equipped,8,5,0.0,2512,None,1.0,"€ 1,765,000  1765000 €",house,exceptional property,for sale,None,2140
330,As new,4,729,Hyper equipped,5,3,0.0,1250,None,None,"€ 2,100,000  2100000 €",house,house,for sale,FORT JACO - BOIS DE LA CAMBRE - PRINCE D'ORANGE,1000
331,Just renovated,4,138,Hyper equipped,3,1,None,2156,None,None,"€ 449,000  449000 €",house,bungalow,for sale,None,None
333,To be done up,2,81,Semi equipped,2,1,0.0,65,1.0,0.0,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",house,house,for sale,None,None
334,As new,3,125,Installed,3,1,0.0,328,None,0.0,"€ 199,000  199000 €",house,house,for sale,None,100
335,Good,3,145,Installed,3,1,None,454,None,None,"€ 260,000  260000 €",house,house,for sale,None,None
336,Good,3,148,Hyper equipped,3,1,0.0,2932,None,0.0,"€ 525,000  525000 €",house,house,for sale,None,50
337,To be done up,3,64,Semi equipped,2,1,0.0,43,None,None,"Make an offer starting from  € 145,000  Make an offer starting from  145000 €",house,house,for sale,None,None
338,Good,2,100,Hyper equipped,3,1,0.0,149,None,0.0,"€ 229,000  229000 €",house,house,for sale,Zone Centre Province du Luxembourg,70
339,To be done up,2,207,Installed,4,1,0.0,608,1.0,None,"Make an offer starting from  € 360,000  Make an offer starting from  360000 €",house,mansion,for sale,Nivelles,518
340,As new,4,420,USA hyper equipped,5,4,0.0,4677,None,0.0,"€ 1,250,000  1250000 €",house,villa,for sale,None,4300
341,To renovate,3,91,Semi equipped,2,1,None,250,None,None,"€ 70,000  70000 €",house,manor house,for sale,None,100
342,To renovate,2,120,None,3,1,0.0,850,1.0,0.0,"€ 250,000  250000 €",house,house,for sale,Waremme et 5 kms,650
343,As new,2,225,Hyper equipped,3,1,None,295,None,0.0,"€ 450,000  450000 €",house,town house,for sale,None,180
344,Just renovated,None,211,Hyper equipped,4,1,None,275,None,0.0,"€ 475,000  475000 €",house,house,for sale,None,215
345,Good,4,254,Installed,4,2,None,2850,None,None,"Make an offer starting from  € 259,500  Make an offer starting from  259500 €",house,house,for sale,None,2700
346,To renovate,3,122,Not installed,3,1,0.0,205,1.0,0.0,"€ 299,000  299000 €",house,house,for sale,None,None
348,Good,3,130,Installed,3,1,None,224,1.0,0.0,"€ 279,000  279000 €",house,house,for sale,None,None
349,To renovate,4,215,Installed,3,1,None,1284,1.0,0.0,"€ 595,000  595000 €",house,villa,for sale,None,1100
350,Good,3,100,Semi equipped,3,1,None,265,None,None,"Make an offer starting from  € 159,500  Make an offer starting from  159500 €",house,house,for sale,None,None
351,To renovate,4,114,Not installed,2,1,0.0,422,None,0.0,"Make an offer starting from  € 149,000  Make an offer starting from  149000 €",house,house,for sale,Liège environs,304
352,To restore,2,75,Installed,4,4,0.0,17,None,None,"€ 280,000  280000 €",house,house,for sale,Bruxelles Centre,None
353,Good,3,270,Hyper equipped,4,1,None,250,None,0.0,"€ 359,000  359000 €",house,house,for sale,None,None
354,To be done up,4,125,USA semi equipped,2,1,0.0,797,None,0.0,"€ 450,000  450000 €",house,villa,for sale,Brabant wallon ouest,572
355,Good,3,301,Semi equipped,2,1,None,545,1.0,0.0,"€ 370,000  370000 €",house,house,for sale,None,None
356,Good,2,165,Semi equipped,3,1,None,629,1.0,0.0,"€ 365,000  365000 €",house,house,for sale,None,None
358,Good,2,179,Installed,3,1,0.0,110,None,0.0,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",house,house,for sale,Liège environs,None
359,Good,2,118,Installed,2,2,0.0,129,1.0,0.0,"Make an offer starting from  € 189,000  Make an offer starting from  189000 €",house,house,for sale,Liège environs,37
360,Just renovated,2,82,Installed,3,1,0.0,128,None,0.0,"€ 179,000  179000 €",house,house,for sale,Grand Liège,65
361,As new,4,195,Installed,3,1,0.0,870,None,None,"€ 440,000  440000 €",house,villa,for sale,Huy et 5kms,515
362,As new,4,272,Hyper equipped,4,2,0.0,3370,None,1.0,"€ 639,000  639000 €",house,house,for sale,None,2200
363,Good,2,190,Installed,5,3,0.0,300,None,0.0,"€ 408,759  408759 €",house,house,for sale,None,190
364,To be done up,2,222,Semi equipped,4,2,0.0,417,None,0.0,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",house,house,for sale,None,251
366,Good,2,187,Installed,4,1,0.0,130,None,0.0,"€ 620,000  620000 €",house,house,for sale,Bruxelles (19 communes),70
367,Just renovated,4,200,Hyper equipped,4,1,None,836,1.0,0.0,"€ 385,000  385000 €",house,villa,for sale,None,700
368,As new,3,134,Hyper equipped,3,1,0.0,281,None,0.0,"Make an offer starting from  € 395,000  Make an offer starting from  395000 €",house,house,for sale,None,70
369,Good,3,369,None,5,2,0.0,528,1.0,0.0,"€ 1,190,000  1190000 €",house,house,for sale,None,None
371,To be done up,3,177,Semi equipped,2,1,None,116,None,None,"€ 299,000  299000 €",house,mixed use building,for sale,Nieuw Borgerhout,None
372,Good,2,185,Installed,3,3,None,86,None,None,"€ 465,000  465000 €",house,mixed use building,for sale,None,None
373,Good,4,154,Installed,3,1,0.0,622,None,0.0,"€ 349,000  349000 €",house,house,for sale,9120 Beveren met deelgemeenten,350
374,As new,3,152,Hyper equipped,3,2,0.0,208,None,0.0,"€ 358,500  358500 €",house,house,for sale,Gent en omstreken,44
375,To be done up,2,154,USA semi equipped,3,1,0.0,55,None,0.0,"€ 335,000  335000 €",house,house,for sale,Gent en omstreken,8
