,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Terrace,Swimming pool,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Garden surface
471,Good,2,164,Installed,3,2,0.0,95,None,0.0,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",house,house,for sale,Liège environs,None
472,Good,4,258,Installed,4,1,None,908,None,None,"€ 595,000  595000 €",house,villa,for sale,None,224
473,Good,4,450,Installed,5,2,0.0,1260,1.0,0.0,"€ 615,000  615000 €",house,mansion,for sale,Oost-Vlaanderen,1100
474,Good,4,157,Not installed,3,1,None,1796,None,None,"€ 439,000  439000 €",house,villa,for sale,None,None
476,To renovate,4,182,Installed,5,1,0.0,4191,None,0.0,"€ 442,000  442000 €",house,house,for sale,None,1800
477,Good,4,165,Installed,4,1,0.0,647,1.0,None,"€ 495,000  495000 €",house,house,for sale,Brabant Flamand,647
478,Good,4,211,Hyper equipped,5,1,0.0,530,None,0.0,"€ 650,000  650000 €",house,house,for sale,Bruxelles Est,250
479,Good,4,290,Semi equipped,3,1,None,204,None,None,"Make an offer starting from  € 279,000  Make an offer starting from  279000 €",house,house,for sale,None,100
480,To be done up,4,134,Semi equipped,3,1,None,684,1.0,0.0,"€ 425,000  425000 €",house,house,for sale,None,684
481,To be done up,3,117,Semi equipped,2,1,0.0,504,None,0.0,"€ 199,000  199000 €",house,house,for sale,None,409
485,As new,2,300,Installed,4,1,0.0,200,None,0.0,"€ 435,000  435000 €",house,house,for sale,None,115
487,Good,4,369,USA hyper equipped,5,2,0.0,530,1.0,None,"€ 1,190,000  1190000 €",house,house,for sale,Bruxelles Sud,None
488,Good,3,240,Installed,3,1,0.0,317,1.0,0.0,"€ 575,000  575000 €",house,villa,for sale,Pagodes,75
490,Good,2,166,Hyper equipped,3,2,None,124,1.0,0.0,"€ 309,000  309000 €",house,house,for sale,None,None
493,Just renovated,4,189,USA hyper equipped,3,1,0.0,732,1.0,0.0,"€ 455,000  455000 €",house,exceptional property,for sale,None,400
494,Good,4,220,Installed,4,2,None,1535,None,None,"€ 559,000  559000 €",house,house,for sale,None,1535
498,Good,2,181,Installed,3,1,None,122,None,None,"€ 349,000  349000 €",house,mixed use building,for sale,None,23
499,To renovate,3,75,Not installed,2,1,0.0,302,None,None,"€ 70,000  70000 €",house,house,for sale,Grand Liège,220
500,Good,4,278,USA installed,4,1,0.0,950,1.0,None,"€ 295,000  295000 €",house,villa,for sale,None,950
501,To be done up,2,115,Installed,4,1,0.0,131,1.0,None,"€ 279,000  279000 €",house,house,for sale,Brussel - zuiden,88
502,Good,4,330,Installed,4,1,0.0,1570,None,None,"€ 425,000  425000 €",house,house,for sale,Hesbaye,850
503,Good,3,371,Hyper equipped,8,3,0.0,1610,1.0,0.0,"€ 1,700,000  1700000 €",house,house,for sale,Bruxelles Sud + Centre,1317
505,To be done up,3,154,Semi equipped,4,1,None,342,None,None,"€ 276,000  276000 €",house,house,for sale,None,None
506,Good,3,150,Semi equipped,3,1,0.0,264,None,0.0,"€ 420,000  420000 €",house,town house,for sale,Vlaams-Brabant Noorden,200
508,Good,4,50,Semi equipped,1,1,None,5020,None,None,"€ 249,000  249000 €",house,mixed use building,for sale,Oude stad,None
509,Just renovated,2,164,USA hyper equipped,3,1,0.0,137,None,0.0,"€ 459,000  459000 €",house,house,for sale,None,50
